s1,s2,money1,money2,ordersComplete1,ordersComplete2,empty_empty,empty_full,full_empty,full_full,whole_order,whole_order_partner
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allCoop,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,196,196,0,16,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,250,250,0,25,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,244,244,0,24,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,268,268,0,28,-1,1,1,-2,6,6
allCoop,allDef,190,190,0,15,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
